time,wx,wy,wz
198232,-2.1,1.1,-2.2
198239,-1.1,2.4,-3.0
198250,-1.6,2.4,-1.9
198260,-1.6,0.6,-1.3
198267,-0.7,1.8,-1.1
198274,-1.8,1.5,-0.1
198283,-1.7,0.2,-0.2
198290,-1.8,1.3,-0.2
198300,0.2,-0.2,0.9
198323,2.1,-1.8,1.6
198332,1.3,0.0,2.9
198344,0.4,2.3,1.1
198351,-0.1,1.8,0.7
198379,-1.7,0.9,0.3
198391,-0.4,0.3,2.1
198405,0.9,-0.1,2.3
198412,1.6,-0.9,3.3
198422,1.4,-1.8,1.8
198433,-2.3,1.5,6.7
198443,0.2,3.2,2.5
198450,0.0,0.4,2.1
198457,-0.9,5.3,0.7
198464,-1.6,3.4,0.0
198473,-3.1,2.6,0.2
198487,-4.2,2.1,-0.8
198494,-5.2,2.8,-1.6
198504,-4.9,4.5,-2.6
198515,-3.0,4.8,-2.8
198522,0.1,2.3,-2.5
198528,2.3,1.2,-5.1
198534,0.0,6.5,2.5
198540,-1.9,2.5,3.9
198553,-0.6,1.4,0.8
198562,0.4,2.2,0.5
198579,-3.1,0.9,0.5
198588,-1.5,4.2,0.0
198597,0.7,0.7,1.3
198604,1.6,1.9,-1.0
198610,0.1,2.7,0.8
198626,-0.2,1.6,0.7
198637,0.4,-0.2,0.9
198643,1.1,0.9,1.8
198650,2.2,5.4,2.4
198663,-1.3,3.9,1.1
198672,-2.5,2.3,0.9
198679,-1.1,0.1,2.4
198696,0.7,-2.5,1.7
198705,1.2,0.4,2.8
198712,0.5,-2.2,2.1
198724,-1.0,-1.1,0.4
198736,-0.7,2.4,1.8
198747,-0.5,3.1,0.9
198754,-0.9,2.0,-0.2
198766,-1.7,0.5,0.4
198787,0.4,3.0,1.5
198794,0.2,1.2,1.0
198801,-0.4,1.8,1.6
198808,0.3,2.1,1.3
198814,0.2,1.6,0.9
198820,-0.2,1.2,1.0
198826,0.1,3.1,-0.5
198833,-2.0,3.8,-0.9
198839,-2.3,4.2,-0.9
198845,-1.8,2.0,-1.5
198851,-3.2,2.4,-0.8
198858,-2.5,4.1,-1.1
198864,-0.9,2.3,-1.6
198870,-1.1,2.5,-1.1
198876,-1.6,2.5,-1.4
198883,-2.3,0.4,-0.1
198889,-1.6,2.0,-0.5
198895,-0.5,0.4,-0.8
198901,-1.3,4.9,-0.3
198908,-3.7,0.0,-2.0
198914,-2.5,1.8,-2.4
198920,-0.2,3.4,-1.6
198926,0.6,2.9,-0.7
198933,0.0,4.5,-1.0
198939,-0.9,0.6,-0.9
198945,-0.9,2.2,-1.9
198951,-0.4,5.4,-1.8
198958,-1.1,4.3,-1.0
198964,0.1,2.7,-2.1
198970,0.4,2.1,-2.5
198976,-0.9,4.4,-0.7
198983,-1.8,1.4,-0.9
198989,-2.0,2.8,-0.4
198995,0.7,-4.2,0.2
199001,3.1,-0.6,1.0
199008,5.6,-4.6,2.6
199014,8.2,-0.7,4.4
199020,5.3,-5.1,7.8
199026,5.1,-9.1,7.7
199033,6.2,-8.3,7.2
199039,5.8,-6.7,5.8
199045,5.9,-6.9,5.8
199051,5.6,-3.5,6.5
199058,4.6,-2.5,6.5
199064,4.3,-2.5,4.9
199070,3.6,-3.7,2.3
199076,1.5,-3.8,1.0
199083,1.8,-2.5,0.0
199089,1.1,-2.5,-1.0
199095,-0.2,0.0,-1.6
199101,0.0,-0.1,-2.7
199108,-0.3,2.2,-2.1
199114,0.2,5.1,-1.3
199120,-0.5,4.5,0.7
199126,-0.2,3.1,2.0
199133,0.7,2.3,2.0
199139,-0.4,4.5,3.5
199145,-1.8,5.5,3.6
199151,-2.1,7.9,0.6
199158,-5.6,5.8,0.0
199164,-8.8,10.6,-0.2
199170,-7.9,6.7,-1.0
199176,-8.2,7.0,0.1
199183,-8.8,7.0,1.8
199189,-7.2,4.6,2.5
199195,-5.0,3.1,3.7
199201,-1.1,-0.2,3.2
199208,2.8,-1.1,4.1
199214,2.5,-1.6,4.7
199220,0.6,-0.7,3.5
199226,-1.0,0.0,1.3
199233,-1.8,0.3,0.7
199239,-2.0,-0.4,1.1
199245,0.3,2.5,1.9
199251,0.0,1.7,0.8
199258,-1.8,1.3,-0.2
199264,-2.8,2.5,-0.4
199270,-2.1,3.2,-0.9
199276,-0.3,3.2,-1.1
199283,-0.3,2.8,-1.4
199289,-1.6,3.2,-1.6
199295,-2.8,3.8,-1.3
199301,-1.9,4.1,-1.1
199308,-1.4,2.2,-2.0
199314,-1.7,3.9,-2.0
199320,-2.1,0.9,-1.1
199326,-1.4,2.5,-1.0
199333,-0.2,2.1,-0.9
199339,-0.9,0.0,0.0
199345,-1.1,0.1,-0.4
199351,-0.1,0.1,-0.1
199358,0.0,1.0,0.3
199364,-0.5,0.0,0.9
199370,-0.4,2.1,0.2
199376,0.0,-1.3,1.9
199383,1.6,1.1,1.7
199389,2.5,-0.1,1.5
199395,2.1,0.0,1.6
199401,1.4,0.5,0.8
199408,1.0,1.0,0.0
199414,1.8,2.1,-0.9
199420,0.2,3.2,-0.6
199426,0.2,4.7,-1.4
199433,0.1,2.2,-2.3
199439,-0.9,2.5,-3.0
199445,-0.9,2.3,-1.4
199451,-0.3,4.2,-0.9
199458,-0.4,3.6,-1.3
199464,-0.9,1.4,-1.0
199470,-1.1,4.1,0.3
199476,-1.0,3.0,0.4
199483,-0.3,3.1,-0.7
199489,-1.6,2.6,-1.1
199495,-1.2,5.3,-1.9
199501,0.2,3.2,-2.8
