time,ax,ay,az
441699,-551,2,887
441705,-534,29,872
441712,-523,70,834
441718,-574,34,890
441724,-559,24,872
441730,-534,28,857
441737,-577,22,889
441743,-547,-8,854
441749,-517,-4,855
441755,-535,4,889
441762,-530,-29,886
441768,-552,-24,879
441774,-556,-66,899
441780,-556,-59,881
441787,-567,-39,893
441793,-563,-8,857
441799,-542,-19,862
441805,-555,-10,872
441812,-564,-2,878
441818,-553,-29,860
441824,-588,-21,877
441830,-595,-22,846
441837,-539,-29,873
441843,-532,-80,877
441849,-564,-121,890
441855,-620,-86,862
441862,-628,-122,850
441868,-656,-85,876
441874,-596,-49,841
441880,-593,-94,872
441887,-587,-60,843
441893,-593,-70,842
441899,-570,-41,812
441905,-588,67,714
441912,-577,217,576
441918,-459,73,447
441924,-239,-121,268
441930,36,-346,220
441937,155,-38,328
441943,320,-242,442
441949,454,-99,550
441955,115,-235,924
441962,449,-667,624
441968,-367,-490,1097
441974,-801,-39,1165
441980,-1707,302,1340
441987,-1670,266,1389
441993,-1190,282,1110
441999,-803,335,872
442005,-897,423,913
442012,-843,426,776
442018,-933,504,725
442024,-773,539,552
442030,-677,554,500
442037,-602,469,541
442043,-632,432,564
442049,-681,441,598
442055,-542,544,565
442062,-359,661,541
442068,-351,781,516
442074,-402,856,515
442080,-357,910,434
442087,-287,869,361
442093,-266,839,280
442099,-410,800,337
442105,-424,795,335
442112,-403,839,362
442118,-393,923,352
442124,-391,864,384
442130,-250,912,313
442137,-220,914,316
442143,-276,969,303
442149,-255,901,281
442155,-354,841,359
442162,-344,895,331
442168,-262,896,306
442174,-332,879,366
442180,-254,843,321
442187,-353,910,369
442193,-298,891,328
442199,-314,855,352
442205,-297,834,350
442212,-314,860,362
442218,-332,874,372
442224,-321,851,378
442230,-322,859,371
442237,-316,846,379
442243,-340,862,382
442249,-332,848,378
442255,-326,846,378
442262,-322,857,377
442268,-333,863,386
442274,-331,855,390
442280,-317,852,388
442287,-315,855,381
442293,-295,855,374
442299,-334,876,386
442305,-325,843,381
442312,-333,870,388
442318,-307,865,361
442324,-314,858,370
442330,-320,855,380
442337,-337,862,402
442343,-290,842,385
442349,-268,852,388
442355,-298,865,424
442362,-225,852,386
442368,-217,826,362
442374,-191,856,366
442380,-142,818,394
442387,-125,869,434
442393,-175,1003,390
442399,-188,987,336
442405,-207,844,374
442412,-147,790,341
442418,-146,838,354
442424,-216,865,367
442430,-457,988,398
442437,-599,819,343
442443,-621,722,394
442449,-463,905,195
442455,-719,1080,246
442462,-670,934,181
442468,-471,717,157
442474,-516,520,299
442480,-639,586,372
442487,-652,509,349
442493,-528,463,272
442499,-329,301,195
442505,-465,474,90
442512,-386,307,-160
442518,-622,348,-350
442524,-749,566,-658
442530,-1089,608,-924
442537,-976,839,-869
442543,-1273,307,-634
442549,-1462,8,-584
442555,-1340,491,-595
442562,-866,560,-506
442568,-865,393,-305
444607,-247,822,-136
444614,-296,774,-173
444625,-669,869,-49
444642,-530,823,-107
444686,-327,898,-139
445111,-344,915,-135
445141,-338,884,-143
445279,-358,898,-106
445310,-349,919,-107
445316,-317,934,-123
445322,-315,903,-131
445329,-326,903,-136
445335,-332,903,-136
445341,-337,881,-119
445347,-327,907,-120
445354,-330,923,-117
445360,-318,935,-132
445366,-332,916,-120
445372,-340,897,-124
445379,-384,868,-98
445385,-375,888,-129
445391,-389,936,-135
445397,-381,913,-135
445404,-397,890,-120
445410,-383,891,-129
445416,-383,878,-125
445422,-387,854,-118
445429,-373,862,-109
445435,-380,893,-117
445441,-333,896,-110
445447,-304,887,-114
445454,-326,932,-128
445460,-357,940,-119
445466,-379,927,-110
445472,-344,920,-126
445479,-302,885,-129
445485,-296,909,-149
445491,-338,918,-128
445497,-377,937,-140
445504,-390,916,-143
445510,-373,901,-155
445516,-355,879,-145
445522,-357,869,-144
445529,-378,882,-142
445535,-393,883,-138
445541,-381,895,-155
445547,-393,883,-136
445554,-382,900,-146
445560,-384,903,-137
445566,-368,888,-153
445572,-360,887,-142
445579,-375,894,-133
445585,-357,907,-147
445591,-374,900,-133
445597,-368,900,-144
445604,-382,902,-130
445610,-367,912,-140
445616,-358,917,-146
445622,-348,891,-135
445629,-354,877,-126
445635,-346,900,-137
445641,-348,894,-130
445647,-356,915,-136
445654,-360,911,-123
445660,-354,910,-133
445666,-364,894,-114
445672,-344,911,-138
445679,-349,910,-137
445685,-351,894,-130
445691,-360,894,-136
445697,-353,905,-148
445704,-359,921,-151
445710,-382,908,-138
445716,-386,870,-122
445722,-358,845,-114
445729,-317,899,-143
445735,-332,904,-136
445741,-383,903,-134
