time,ax,ay,az
69322,-164,942,-216
69343,-143,921,-225
69411,-52,931,-185
69420,-222,950,-129
69426,-210,991,-140
69433,-124,989,-203
69439,-160,948,-132
69445,-108,889,-150
69451,-133,925,-140
69458,-147,939,-158
69464,-179,973,-156
69470,-161,954,-153
69476,-128,926,-181
69483,-163,942,-178
69489,-191,966,-192
69495,-221,946,-183
69501,-177,908,-186
69508,-133,915,-187
69514,-165,981,-151
69520,-93,986,-180
69526,-156,968,-172
69533,-200,938,-177
69539,-221,957,-196
69545,-238,895,-153
69551,-169,877,-181
69558,-183,949,-161
69564,-173,957,-162
69570,-172,914,-153
69576,-167,965,-150
69583,-150,973,-160
69589,-156,944,-156
69595,-147,926,-161
69601,-158,946,-160
69608,-163,964,-170
69614,-159,953,-177
69620,-180,941,-170
69626,-167,939,-174
69633,-177,940,-176
69639,-169,953,-180
69645,-180,950,-178
69651,-185,948,-178
69658,-176,947,-180
69664,-170,947,-178
69670,-164,955,-174
69676,-172,946,-166
69683,-162,936,-168
69689,-146,930,-174
69695,-152,929,-168
69701,-162,952,-160
69708,-143,952,-171
69714,-158,946,-167
69720,-154,953,-172
69726,-165,920,-163
69733,-175,916,-160
69739,-157,954,-179
69745,-162,949,-175
69751,-165,940,-177
69758,-168,956,-183
69764,-183,948,-170
69770,-148,954,-191
69776,-161,941,-184
69783,-148,920,-187
69789,-168,937,-183
69795,-189,980,-189
69801,-229,998,-176
69808,-233,918,-162
69814,-213,865,-153
69820,-193,632,-162
69826,-164,519,-183
69833,-78,671,-329
69839,-65,852,-346
69845,172,922,-524
69851,319,929,-680
69858,552,902,-709
69864,572,796,-681
69870,586,642,-741
69876,626,536,-785
69883,707,361,-1030
69889,605,661,-1748
69895,236,595,-1027
69901,85,324,-1534
69908,-219,553,-1912
69914,-553,951,-548
69920,-516,278,-353
69926,-1475,813,455
69933,-895,719,231
69939,-470,145,2
69945,-412,627,50
69951,-458,970,71
69958,-412,1066,15
69964,-603,1233,84
69970,-530,1011,-81
69976,-582,961,-158
69983,-791,877,-117
69989,-652,748,-161
69995,-604,581,-220
70001,-633,778,-192
70008,-659,767,-139
70014,-661,723,-17
70020,-579,663,67
70026,-525,752,249
70033,-458,1196,211
70039,-753,924,583
70045,-538,241,219
70051,-552,-320,-67
70058,-76,1952,-487
70064,1728,-481,-932
70070,-299,1996,-295
70076,724,1347,-545
70083,338,878,-324
70089,-93,799,271
70095,60,227,509
70101,622,445,395
70108,750,9,150
70114,612,149,-19
70120,1037,269,18
70126,1029,195,67
70133,860,186,119
70139,1108,158,17
70145,988,222,-5
70151,1006,66,-77
70158,946,98,-45
70164,932,102,-50
70170,967,140,-15
70176,862,139,-21
70183,923,38,-96
70189,937,68,-100
70195,979,112,-91
70201,967,118,-87
70208,967,115,-97
70214,1005,84,-159
70220,1006,134,-166
70226,1018,133,-178
70233,1121,152,-289
70239,1180,158,-315
70245,1257,69,-438
70251,1132,-4,-700
70258,1064,-379,-890
70264,810,-426,-919
70270,530,-350,-899
70276,537,-299,-929
70283,102,-389,-948
70289,11,-239,-946
70295,-27,-243,-1534
70301,14,-158,-1730
70308,-107,-271,-1710
70314,-75,-494,-1996
70320,-461,129,-1996
70326,-1998,1098,-1996
70333,-1998,-1998,-1457
70339,-1998,1996,-540
70345,-1012,-697,-1988
70351,-1970,1888,1998
70358,1998,-51,-1582
70364,-435,-557,493
70370,-1094,43,706
70376,-516,364,525
70383,-647,230,864
70389,-876,508,923
70395,-684,235,798
70401,-555,458,878
70408,-239,213,782
70414,-142,395,873
70420,-279,240,983
70426,-617,456,940
70433,-491,278,891
70439,-109,361,622
70445,-271,64,472
70451,-10,232,515
70458,-505,371,1246
70464,-74,152,794
70470,-1264,1003,1829
70476,-499,107,1217
70483,-521,197,561
70489,-329,399,740
70495,-108,50,850
70501,-560,534,953
70508,-743,251,939
70514,-401,231,783
70520,-497,251,923
70526,-326,351,866
70533,-312,316,870
70539,-374,360,889
70545,-401,248,901
70551,-248,273,897
70558,-314,251,982
70564,-277,68,904
70570,-377,140,927
70576,-357,123,909
70583,-454,64,999
70589,-392,136,945
70595,-381,250,923
70601,-537,188,956
70608,-366,214,835
70614,-464,227,885
70620,-443,64,916
70626,-425,102,915
70633,-414,261,866
70639,-554,202,933
70645,-497,127,879
