time,wx,wy,wz
95163,-0.9,0.9,-0.5
95169,-1.3,0.9,-0.4
95175,-0.9,1.7,-0.2
95181,-0.4,1.6,0.7
95188,-1.4,3.3,1.2
95194,-2.0,3.9,-0.9
95200,-3.1,3.7,-1.8
95206,-3.8,3.6,-1.1
95213,-1.6,3.1,-1.2
95219,-0.8,3.6,0.2
95225,-1.4,1.5,1.6
95231,-0.2,1.1,1.6
95238,-0.7,0.8,0.1
95244,-1.6,1.8,-0.4
95250,-3.3,2.3,-1.7
95256,-3.0,1.4,-1.1
95263,-4.2,1.2,0.6
95269,-4.6,-2.8,-0.1
95275,-4.9,-2.1,-2.5
95281,-5.2,-4.8,-5.3
95288,-4.8,-5.8,-4.4
95294,-3.1,-4.1,-1.1
95300,-0.9,-3.1,2.5
95306,0.1,-4.6,4.4
95313,1.5,0.0,2.9
95319,-0.7,-0.9,0.2
95325,-1.4,0.4,0.4
95331,-1.0,1.3,1.4
95338,0.4,-0.9,1.9
95344,0.0,-2.1,1.6
95350,-0.2,-3.7,1.8
95356,-1.1,-4.0,1.6
95363,-0.6,-4.0,0.6
95369,0.6,-3.7,1.2
95375,0.2,-3.6,2.8
95381,0.0,-1.0,4.6
95388,1.0,-0.8,6.1
95394,1.5,0.2,6.0
95400,-0.8,0.8,5.0
95406,-1.9,0.5,2.9
95413,-2.8,-1.1,2.6
95419,-2.0,2.1,1.6
95425,-0.9,2.5,0.7
95431,-1.8,2.0,1.1
95438,-3.1,2.3,0.7
95444,-1.9,2.2,-0.8
95450,-1.9,0.8,-0.4
95456,-1.7,1.1,-0.4
95463,-1.1,-0.1,-1.0
95469,-1.5,-0.7,-0.9
95475,-1.4,0.0,-1.4
95481,-0.9,-1.7,-1.3
95488,0.7,-0.7,-1.6
95494,-0.5,0.4,-1.1
95500,-0.7,-0.1,-1.2
95506,-1.1,1.6,-0.9
95513,-1.3,2.2,-0.3
95519,-2.8,1.7,0.3
95525,-1.8,0.3,0.7
95531,-1.6,-1.6,1.1
95538,-0.8,-2.5,0.7
95544,0.6,-0.6,0.6
95550,-0.5,-1.7,2.5
95556,0.7,-0.3,2.7
95563,1.3,0.7,2.1
95569,1.1,1.5,1.6
95575,0.1,1.9,0.4
95581,0.5,3.1,0.6
95588,-0.6,2.2,1.6
95594,-0.2,1.7,1.2
95600,0.9,1.8,1.4
95606,-0.4,0.7,2.1
95613,-1.4,0.4,0.7
95619,-2.5,0.8,0.8
95625,-2.3,1.3,0.2
95631,-3.2,1.9,-0.5
95638,-3.5,1.0,-0.2
95644,-3.6,-0.5,1.0
95650,-1.9,0.9,0.5
95656,1.4,3.5,-2.5
95663,0.2,4.7,-0.9
95669,-0.7,6.1,0.9
95675,0.8,5.6,2.1
95681,2.9,3.2,3.6
95688,3.3,1.2,4.2
95694,2.5,0.6,1.6
95700,3.8,-1.1,-1.1
95706,2.3,1.1,0.5
95713,2.5,-2.3,7.0
95719,3.1,-15.0,11.7
95725,5.8,-17.9,12.0
95731,9.3,-4.9,13.6
95738,13.4,5.6,22.6
95744,14.2,12.3,27.5
95750,17.7,11.6,26.3
95756,21.3,28.2,16.7
95763,-3.9,31.7,-0.5
95769,-21.1,106.4,-38.7
95775,-88.1,-43.3,-125.3
95781,-88.5,299.2,-83.0
95788,-209.9,40.3,-58.3
95794,-170.3,255.7,6.2
95800,-121.9,145.6,39.0
95806,-91.0,-25.2,115.5
95813,-27.1,-46.8,140.9
95819,-1.8,143.1,195.4
95825,-137.4,9.6,102.2
95831,-41.0,269.1,28.7
95838,-144.3,82.8,18.2
95844,56.7,58.9,4.9
95850,111.6,172.4,-29.4
95856,76.9,272.3,-86.8
95863,-39.2,148.5,-116.5
95869,131.4,200.6,-61.1
95875,78.3,113.4,-78.7
95881,-3.6,78.1,-91.2
95888,0.9,50.1,-43.4
95894,-5.1,29.6,-25.6
95900,-8.6,3.1,-35.0
95906,-4.2,-2.6,-20.1
95913,-15.5,-16.7,-14.7
95919,-32.9,-18.3,2.5
95925,-7.3,-43.6,4.9
95931,-35.8,-85.8,-3.7
95938,-65.5,-91.4,-20.9
95944,-121.7,-123.8,-0.7
95950,-134.2,-149.5,32.9
95956,-106.8,-183.2,77.0
95963,-42.5,-133.3,100.9
95969,150.1,-116.0,91.8
95975,250.5,-369.6,11.4
95981,321.7,48.3,-104.5
95988,62.6,-400.4,-575.4
95994,214.4,237.7,-75.6
96000,-13.4,-293.5,-7.4
96006,5.4,-95.9,105.1
96013,-73.8,-145.1,103.1
96019,-90.3,-107.3,103.0
96025,-81.8,-262.2,130.5
96031,-42.9,-192.0,127.3
96038,-71.7,-113.1,146.3
96044,-48.3,-112.1,94.9
96050,-22.9,-5.6,70.6
96056,-35.4,-61.8,52.9
96063,-1.9,-0.4,31.1
96069,-16.1,-14.5,21.2
96075,-7.1,-8.8,5.6
96081,-5.9,-44.1,2.7
96088,5.1,-51.9,5.3
96094,3.8,-37.0,12.4
96100,2.9,-40.4,17.0
96106,4.9,-2.8,11.5
96113,2.8,2.7,13.0
96119,-1.2,-13.7,12.9
96125,0.3,-27.2,9.1
96131,17.7,-72.0,50.1
96138,32.0,-164.7,122.7
96144,28.5,-262.3,212.3
96150,23.8,-286.1,219.5
96156,12.3,-249.8,175.1
96163,-10.4,-221.6,169.1
96169,-16.8,-169.5,121.1
96175,-36.0,-83.2,94.7
96181,-35.9,-56.0,70.0
96188,-32.0,-15.6,18.2
96194,-64.8,19.5,-31.6
96200,-56.9,89.6,-37.0
96206,-85.4,208.8,-38.8
96213,-165.2,84.2,-54.9
96219,-168.9,86.5,-21.9
96225,-394.1,244.8,224.6
96231,964.7,2293.4,449.9
96238,894.4,274.8,-1033.9
96244,173.5,842.8,257.1
96250,224.0,359.9,-75.1
96256,-163.5,-190.6,-166.0
96263,168.2,685.5,42.8
96269,-35.4,-56.0,-51.8
96275,32.9,63.8,22.3
96281,-12.3,-33.1,1.7
96288,-13.0,-41.0,4.2
96294,-0.3,1.6,5.0
96300,11.2,-6.7,5.5
96306,4.4,-3.5,14.2
96313,-12.9,-6.5,12.3
96319,3.2,26.1,-14.0
96325,-18.5,-18.5,26.1
96331,6.7,23.1,0.4
96338,-6.9,-25.5,11.7
96344,-5.6,10.0,0.3
96350,-12.8,-5.3,8.8
96356,-14.4,-18.0,9.0
96363,-6.5,-8.4,6.5
96369,-10.5,-30.1,-0.6
96375,-15.3,-9.2,25.4
96381,5.1,-86.1,-4.7
96388,-3.9,-19.3,-12.1
96394,-13.9,-32.8,28.3
96400,20.2,-14.0,-57.1
96406,-16.6,-48.2,28.7
96413,1.5,-6.7,-17.5
96419,-0.9,-20.5,-8.2
96425,-6.8,8.6,-15.8
96431,-8.5,-6.0,-22.4
96438,-4.2,9.7,-15.6
96444,-20.5,5.7,-17.5
96450,-16.2,-15.8,15.6
96456,-21.4,0.0,9.0
96463,-12.6,4.4,13.2
96469,-16.4,-12.8,13.4
96475,-14.3,-5.5,18.4
96481,-13.3,-9.1,0.9
96488,-6.3,-20.1,16.1
96494,-5.7,-29.4,12.8
96500,-5.7,-3.1,8.8
96506,1.3,12.3,9.1
96513,-2.8,4.4,5.8
96519,-5.5,1.3,16.9
96525,-5.1,12.2,10.0
96531,-12.9,7.4,10.8
96538,-7.3,-23.1,12.0
