Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
25/07/2020 18:12:47.357,295306,AM1V310 @394D30,78549,DFFE54FA78FC,-28.9,-145.2,-90.4
25/07/2020 18:12:47.385,295328,AM1V310 @394D30,78555,EDFF08FBC9FD,-1.9,-127.2,-56.7
25/07/2020 18:12:47.447,295390,AM1V310 @394D30,78561,A50068FA23FF,16.5,-143.2,-22.1
25/07/2020 18:12:47.507,295449,AM1V310 @394D30,78568,370346FCFC01,82.3,-95.4,50.8
25/07/2020 18:12:47.535,295478,AM1V310 @394D30,78574,9.90E+11,92.1,53.5,33.6
25/07/2020 18:12:47.597,295539,AM1V310 @394D30,78580,51037101EE00,84.9,36.9,23.8
25/07/2020 18:12:47.657,295599,AM1V310 @394D30,78586,8802FE033F00,64.8,102.2,6.3
25/07/2020 18:12:47.686,295628,AM1V310 @394D30,78593,0E01AE061F00,27,171,3.1
25/07/2020 18:12:47.747,295690,AM1V310 @394D30,78599,6.80E+11,10.4,187.3,12.9
25/07/2020 18:12:47.807,295750,AM1V310 @394D30,78605,3801A7028200,31.2,67.9,13
25/07/2020 18:12:47.835,295777,AM1V310 @394D30,78611,3201E2029B00,30.6,73.8,15.5
25/07/2020 18:12:47.897,295840,AM1V310 @394D30,78618,FE007902A500,25.4,63.3,16.5
25/07/2020 18:12:47.957,295900,AM1V310 @394D30,78624,D200AA033200,21,93.8,5
25/07/2020 18:12:47.990,295933,AM1V310 @394D30,78630,6500E900D1FF,10.1,23.3,-4.7
25/07/2020 18:12:48.076,296019,AM1V310 @394D30,78636,6900E2002400,10.5,22.6,3.6
25/07/2020 18:12:48.105,296048,AM1V310 @394D30,78643,A0005E01BDFF,16,35,-6.7
25/07/2020 18:12:48.135,296078,AM1V310 @394D30,78649,2D0046FFF8FF,4.5,-18.6,-0.8
25/07/2020 18:12:48.197,296139,AM1V310 @394D30,78655,3500C3015BFF,5.3,45.1,-16.5
25/07/2020 18:12:48.257,296200,AM1V310 @394D30,78661,ACFFB10064FF,-8.4,17.7,-15.6
25/07/2020 18:12:48.285,296228,AM1V310 @394D30,78668,EEFFBF00CAFF,-1.8,19.1,-5.4
25/07/2020 18:12:48.347,296289,AM1V310 @394D30,78674,0A00E2FFF7FF,1,-3,-0.9
25/07/2020 18:12:48.407,296350,AM1V310 @394D30,78680,FDFF0B003A00,-0.3,1.1,5.8
25/07/2020 18:12:48.435,296377,AM1V310 @394D30,78686,86FF16000400,-12.2,2.2,0.4
25/07/2020 18:12:48.497,296440,AM1V310 @394D30,78693,B9FF7AFF8000,-7.1,-13.4,12.8
25/07/2020 18:12:48.557,296500,AM1V310 @394D30,78699,FEFF2000FBFF,-0.2,3.2,-0.5
25/07/2020 18:12:48.588,296530,AM1V310 @394D30,78705,8700F5FF6300,13.5,-1.1,9.9
25/07/2020 18:12:48.647,296589,AM1V310 @394D30,78711,CF00A8004C00,20.7,16.8,7.6
25/07/2020 18:12:48.707,296650,AM1V310 @394D30,78718,34012F006400,30.8,4.7,10
25/07/2020 18:12:48.735,296678,AM1V310 @394D30,78724,0C016DFF6D00,26.8,-14.7,10.9
25/07/2020 18:12:48.797,296740,AM1V310 @394D30,78730,2601ECFF4900,29.4,-2,7.3
25/07/2020 18:12:48.857,296800,AM1V310 @394D30,78736,820037FE8DFF,13,-45.7,-11.5
25/07/2020 18:12:48.887,296830,AM1V310 @394D30,78743,43004DFE97FF,6.7,-43.5,-10.5
25/07/2020 18:12:48.947,296889,AM1V310 @394D30,78749,73FF0B0089FF,-14.1,1.1,-11.9
25/07/2020 18:12:49.007,296950,AM1V310 @394D30,78755,CCFEC800E8FF,-30.8,20,-2.4
25/07/2020 18:12:49.035,296978,AM1V310 @394D30,78761,DBFE1F015600,-29.3,28.7,8.6
25/07/2020 18:12:49.097,297039,AM1V310 @394D30,78768,04FFC7000F00,-25.2,19.9,1.5
25/07/2020 18:12:49.157,297100,AM1V310 @394D30,78774,3CFF68001100,-19.6,10.4,1.7
25/07/2020 18:12:49.188,297130,AM1V310 @394D30,78780,6EFFF9FF8A00,-14.6,-0.7,13.8
25/07/2020 18:12:49.247,297189,AM1V310 @394D30,78786,87FF60009100,-12.1,9.6,14.5
25/07/2020 18:12:49.307,297249,AM1V310 @394D30,78793,DAFFBFFFC600,-3.8,-6.5,19.8
25/07/2020 18:12:49.335,297278,AM1V310 @394D30,78799,A2FF0300C800,-9.4,0.3,20
25/07/2020 18:12:49.396,297338,AM1V310 @394D30,78805,56FFBDFF7900,-17,-6.7,12.1
25/07/2020 18:12:49.457,297400,AM1V310 @394D30,78811,71FF4FFF9400,-14.3,-17.7,14.8
25/07/2020 18:12:49.492,297434,AM1V310 @394D30,78818,B6FF44FFB900,-7.4,-18.8,18.5
25/07/2020 18:12:49.547,297489,AM1V310 @394D30,78824,7C0031FFC400,12.4,-20.7,19.6
25/07/2020 18:12:49.633,297577,AM1V310 @394D30,78830,B60166005C00,43.8,10.2,9.2
25/07/2020 18:12:49.666,297608,AM1V310 @394D30,78836,CA034B010F00,97,33.1,1.5
25/07/2020 18:12:49.727,297670,AM1V310 @394D30,78843,0D06360446FF,154.9,107.8,-18.6
25/07/2020 18:12:49.761,297703,AM1V310 @394D30,78849,81082806FAFE,217.7,157.6,-26.2
25/07/2020 18:12:49.785,297728,AM1V310 @394D30,78855,820A65084BFE,269,214.9,-43.7
25/07/2020 18:12:49.847,297789,AM1V310 @394D30,78861,690BAD08DEFD,292.1,222.1,-54.6
25/07/2020 18:12:49.907,297850,AM1V310 @394D30,78868,1E0A300708FE,259,184,-50.4
25/07/2020 18:12:49.935,297878,AM1V310 @394D30,78874,31089707F3FD,209.7,194.3,-52.5
25/07/2020 18:12:49.997,297940,AM1V310 @394D30,78880,B70577FF9801,146.3,-13.7,40.8
25/07/2020 18:12:50.057,297999,AM1V310 @394D30,78886,1EF5F4FCB503,-278.6,-78,94.9
25/07/2020 18:12:50.086,298028,AM1V310 @394D30,78893,F2F121F39A03,-359.8,-329.5,92.2
25/07/2020 18:12:50.147,298089,AM1V310 @394D30,78899,6A05B8F81303,138.6,-186.4,78.7
25/07/2020 18:12:50.207,298150,AM1V310 @394D30,78905,4C047409E8FC,110,242,-79.2
25/07/2020 18:12:50.297,298240,AM1V310 @394D30,78918,DBFFFB046200,-3.7,127.5,9.8
25/07/2020 18:12:50.296,298240,AM1V310 @394D30,78911,B5FFDEF8CF03,-7.5,-182.6,97.5
25/07/2020 18:12:50.357,298300,AM1V310 @394D30,78924,1DFFF903C700,-22.7,101.7,19.9
25/07/2020 18:12:50.385,298328,AM1V310 @394D30,78930,CD0073FDA001,20.5,-65.3,41.6
25/07/2020 18:12:50.447,298389,AM1V310 @394D30,78936,76FD5E00ACFF,-65,9.4,-8.4
25/07/2020 18:12:50.507,298449,AM1V310 @394D30,78943,39FD8C019300,-71.1,39.6,14.7
25/07/2020 18:12:50.535,298478,AM1V310 @394D30,78949,57FFBAFF8900,-16.9,-7,13.7
25/07/2020 18:12:50.597,298539,AM1V310 @394D30,78955,9500E9FFF4FF,14.9,-2.3,-1.2
25/07/2020 18:12:50.686,298630,AM1V310 @394D30,78961,6B007900BDFF,10.7,12.1,-6.7
25/07/2020 18:12:50.686,298630,AM1V310 @394D30,78968,5E0080FF49FF,9.4,-12.8,-18.3
25/07/2020 18:12:50.747,298689,AM1V310 @394D30,78974,35FF7A00C6FE,-20.3,12.2,-31.4
25/07/2020 18:12:50.807,298750,AM1V310 @394D30,78980,41FE52013DFF,-44.7,33.8,-19.5
25/07/2020 18:12:50.835,298778,AM1V310 @394D30,78986,C4FF2EFFF0FF,-6,-21,-1.6
25/07/2020 18:12:50.897,298839,AM1V310 @394D30,78993,7A0050FF97FF,12.2,-17.6,-10.5
25/07/2020 18:12:50.957,298899,AM1V310 @394D30,78999,D7FFF1FFCAFF,-4.1,-1.5,-5.4
25/07/2020 18:12:50.985,298928,AM1V310 @394D30,79005,6DFF7E00F2FF,-14.7,12.6,-1.4
25/07/2020 18:12:51.077,299020,AM1V310 @394D30,79011,FCFF93FFFCFF,-0.4,-10.9,-0.4
25/07/2020 18:12:51.109,299051,AM1V310 @394D30,79018,500079FFA7FF,8,-13.5,-8.9
25/07/2020 18:12:51.135,299077,AM1V310 @394D30,79024,EE00A2FF5AFE,23.8,-9.4,-42.2
25/07/2020 18:12:51.227,299169,AM1V310 @394D30,79030,8F01640019FD,39.9,10,-74.3
25/07/2020 18:12:51.255,299198,AM1V310 @394D30,79036,48026C006DFB,58.4,10.8,-117.1
25/07/2020 18:12:51.285,299227,AM1V310 @394D30,79043,A901FCFD99FB,42.5,-51.6,-112.7
25/07/2020 18:12:51.347,299289,AM1V310 @394D30,79049,6B00D1FDB1FB,10.7,-55.9,-110.3
25/07/2020 18:12:51.407,299349,AM1V310 @394D30,79055,07FEFBFCD0FC,-50.5,-77.3,-81.6
25/07/2020 18:12:51.435,299378,AM1V310 @394D30,79061,38FB52FCC1FE,-122.4,-94.2,-31.9
25/07/2020 18:12:51.497,299440,AM1V310 @394D30,79068,70F893F89301,-193.6,-190.1,40.3
25/07/2020 18:12:51.557,299500,AM1V310 @394D30,79074,85F67FF61605,-242.7,-243.3,130.2
25/07/2020 18:12:51.591,299534,AM1V310 @394D30,79080,F1F459F74307,-283.1,-221.5,185.9
25/07/2020 18:12:51.644,299587,AM1V310 @394D30,79086,BAF41AF72009,-288.6,-227.8,233.6
25/07/2020 18:12:51.707,299649,AM1V310 @394D30,79093,1AF63DF57309,-253.4,-275.5,241.9
25/07/2020 18:12:51.735,299678,AM1V310 @394D30,79099,12F72BF44D09,-228.6,-302.9,238.1
25/07/2020 18:12:51.797,299739,AM1V310 @394D30,79105,DFF761F6B707,-208.1,-246.3,197.5
25/07/2020 18:12:51.857,299799,AM1V310 @394D30,79111,A9FA62FA2505,-136.7,-143.8,131.7
25/07/2020 18:12:51.885,299828,AM1V310 @394D30,79118,ACFECFFBB001,-34,-107.3,43.2
25/07/2020 18:12:51.947,299890,AM1V310 @394D30,79124,8700F0FD97FF,13.5,-52.8,-10.5
25/07/2020 18:12:52.007,299950,AM1V310 @394D30,79130,9F010DFF75FE,41.5,-24.3,-39.5
25/07/2020 18:12:52.035,299977,AM1V310 @394D30,79136,A202D5FF99FD,67.4,-4.3,-61.5
25/07/2020 18:12:52.097,300039,AM1V310 @394D30,79143,9403F5FFC6FC,91.6,-1.1,-82.6
25/07/2020 18:12:52.157,300099,AM1V310 @394D30,79149,0904330015FC,103.3,5.1,-100.3
25/07/2020 18:12:52.187,300129,AM1V310 @394D30,79155,03041900F9FB,102.7,2.5,-103.1
25/07/2020 18:12:52.247,300189,AM1V310 @394D30,79161,9503BDFF2CFC,91.7,-6.7,-98
25/07/2020 18:12:52.307,300249,AM1V310 @394D30,79168,96022901B8FC,66.2,29.7,-84
25/07/2020 18:12:52.335,300277,AM1V310 @394D30,79174,9D016801B7FD,41.3,36,-58.5
25/07/2020 18:12:52.397,300340,AM1V310 @394D30,79180,AC00B200E8FE,17.2,17.8,-28
25/07/2020 18:12:52.457,300400,AM1V310 @394D30,79186,BFFF7BFFF3FF,-6.5,-13.3,-1.3
25/07/2020 18:12:52.485,300428,AM1V310 @394D30,79193,99FE4D00D200,-35.9,7.7,21
25/07/2020 18:12:52.547,300489,AM1V310 @394D30,79199,95FD75009601,-61.9,11.7,40.6
25/07/2020 18:12:52.607,300549,AM1V310 @394D30,79205,33FDCFFF4802,-71.7,-4.9,58.4
25/07/2020 18:12:52.635,300578,AM1V310 @394D30,79211,5CFD9AFFB702,-67.6,-10.2,69.5
25/07/2020 18:12:52.697,300640,AM1V310 @394D30,79218,98FD4FFFB702,-61.6,-17.7,69.5
25/07/2020 18:12:52.757,300700,AM1V310 @394D30,79224,0DFE72FF6502,-49.9,-14.2,61.3
25/07/2020 18:12:52.787,300729,AM1V310 @394D30,79230,65FE3F00C501,-41.1,6.3,45.3
25/07/2020 18:12:52.847,300789,AM1V310 @394D30,79236,C9FEED000701,-31.1,23.7,26.3
25/07/2020 18:12:52.907,300849,AM1V310 @394D30,79243,7BFF30013800,-13.3,30.4,5.6
25/07/2020 18:12:52.935,300877,AM1V310 @394D30,79249,84006201DDFE,13.2,35.4,-29.1
25/07/2020 18:12:52.997,300940,AM1V310 @394D30,79255,E900FF01C4FD,23.3,51.1,-57.2
25/07/2020 18:12:53.057,301000,AM1V310 @394D30,79261,F500D0021CFD,24.5,72,-74
25/07/2020 18:12:53.086,301028,AM1V310 @394D30,79268,1A01C0038EFC,28.2,96,-88.2
25/07/2020 18:12:53.147,301089,AM1V310 @394D30,79274,1701CF0369FC,27.9,97.5,-91.9
25/07/2020 18:12:53.207,301150,AM1V310 @394D30,79280,150170047CFC,27.7,113.6,-90
25/07/2020 18:12:53.239,301181,AM1V310 @394D30,79286,83018F03B1FC,38.7,91.1,-84.7
25/07/2020 18:12:53.297,301239,AM1V310 @394D30,79293,00028903D7FC,51.2,90.5,-80.9
25/07/2020 18:12:53.357,301300,AM1V310 @394D30,79299,0F021D0334FD,52.7,79.7,-71.6
25/07/2020 18:12:53.388,301331,AM1V310 @394D30,79305,1D021903EFFD,54.1,79.3,-52.9
25/07/2020 18:12:53.447,301390,AM1V310 @394D30,79311,0502B8027FFE,51.7,69.6,-38.5
25/07/2020 18:12:53.507,301450,AM1V310 @394D30,79318,DD01DF0131FF,47.7,47.9,-20.7
25/07/2020 18:12:53.535,301478,AM1V310 @394D30,79324,3D016B01B5FF,31.7,36.3,-7.5
25/07/2020 18:12:53.597,301539,AM1V310 @394D30,79330,D3008A00F7FF,21.1,13.8,-0.9
25/07/2020 18:12:53.657,301600,AM1V310 @394D30,79336,7700DF000100,11.9,22.3,0.1
25/07/2020 18:12:53.689,301631,AM1V310 @394D30,79343,5200D9000100,8.2,21.7,0.1
25/07/2020 18:12:53.747,301689,AM1V310 @394D30,79349,4.60E+11,7,10.4,1.6
25/07/2020 18:12:53.807,301749,AM1V310 @394D30,79355,0B00D400DFFF,1.1,21.2,-3.3
25/07/2020 18:12:53.835,301778,AM1V310 @394D30,79361,04009300F6FF,0.4,14.7,-1
25/07/2020 18:12:53.897,301840,AM1V310 @394D30,79368,DDFFC800E9FF,-3.5,20,-2.3
25/07/2020 18:12:53.957,301900,AM1V310 @394D30,79374,BFFF77002800,-6.5,11.9,4
25/07/2020 18:12:53.986,301928,AM1V310 @394D30,79380,DBFF36004700,-3.7,5.4,7.1
25/07/2020 18:12:54.047,301989,AM1V310 @394D30,79386,1400BBFF3D00,2,-6.9,6.1
25/07/2020 18:12:54.107,302050,AM1V310 @394D30,79393,5A0083FF3F00,9,-12.5,6.3
25/07/2020 18:12:54.136,302078,AM1V310 @394D30,79399,7B00AAFF0800,12.3,-8.6,0.8
25/07/2020 18:12:54.197,302140,AM1V310 @394D30,79405,3C00C1FFE2FF,6,-6.3,-3
25/07/2020 18:12:54.257,302200,AM1V310 @394D30,79411,0600D1FFE6FF,0.6,-4.7,-2.6
25/07/2020 18:12:54.288,302230,AM1V310 @394D30,79418,0000C6FF0B00,0,-5.8,1.1
25/07/2020 18:12:54.347,302289,AM1V310 @394D30,79424,0B00C7FF1200,1.1,-5.7,1.8
