Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
25/07/2020 18:12:47.357,295304,AM1V310 @394D30,78549,21FD7400CBFD,-735,116,-565
25/07/2020 18:12:47.385,295328,AM1V310 @394D30,78555,A1FD9100C7FD,-607,145,-569
25/07/2020 18:12:47.447,295389,AM1V310 @394D30,78561,6EFDB500ADFF,-658,181,-83
25/07/2020 18:12:47.507,295449,AM1V310 @394D30,78568,99FE7103B2FD,-359,881,-590
25/07/2020 18:12:47.535,295478,AM1V310 @394D30,78574,28FB5D00A6FF,-1240,93,-90
25/07/2020 18:12:47.597,295540,AM1V310 @394D30,78580,96FA680049FF,-1386,104,-183
25/07/2020 18:12:47.657,295600,AM1V310 @394D30,78586,20FC73000300,-992,115,3
25/07/2020 18:12:47.686,295628,AM1V310 @394D30,78593,1FFD77005CFF,-737,119,-164
25/07/2020 18:12:47.747,295689,AM1V310 @394D30,78599,68FDB5008EFE,-664,181,-370
25/07/2020 18:12:47.807,295750,AM1V310 @394D30,78605,E3FC500058FD,-797,80,-680
25/07/2020 18:12:47.835,295777,AM1V310 @394D30,78611,07FE280065FD,-505,40,-667
25/07/2020 18:12:47.897,295839,AM1V310 @394D30,78618,19FEAF0020FD,-487,175,-736
25/07/2020 18:12:47.957,295900,AM1V310 @394D30,78624,BBFD57003CFD,-581,87,-708
25/07/2020 18:12:47.990,295933,AM1V310 @394D30,78630,22FE7B00FEFC,-478,123,-770
25/07/2020 18:12:48.076,296018,AM1V310 @394D30,78636,91FD6C00ABFC,-623,108,-853
25/07/2020 18:12:48.105,296048,AM1V310 @394D30,78643,90FD2C00B6FC,-624,44,-842
25/07/2020 18:12:48.135,296078,AM1V310 @394D30,78649,F1FE25011DFD,-271,293,-739
25/07/2020 18:12:48.197,296140,AM1V310 @394D30,78655,B2FD2F008AFD,-590,47,-630
25/07/2020 18:12:48.257,296199,AM1V310 @394D30,78661,CFFD3A0023FD,-561,58,-733
25/07/2020 18:12:48.285,296228,AM1V310 @394D30,78668,9AFDC4FFF5FB,-614,-60,-1035
25/07/2020 18:12:48.347,296289,AM1V310 @394D30,78674,3FFE5900AFFC,-449,89,-849
25/07/2020 18:12:48.407,296350,AM1V310 @394D30,78680,4BFE8F00BAFC,-437,143,-838
25/07/2020 18:12:48.435,296377,AM1V310 @394D30,78686,F1FD8900E6FC,-527,137,-794
25/07/2020 18:12:48.497,296439,AM1V310 @394D30,78693,77FD1F00DEFC,-649,31,-802
25/07/2020 18:12:48.557,296500,AM1V310 @394D30,78699,B9FDFEFF6EFC,-583,-2,-914
25/07/2020 18:12:48.588,296530,AM1V310 @394D30,78705,1AFE1A00C8FC,-486,26,-824
25/07/2020 18:12:48.647,296589,AM1V310 @394D30,78711,B8FD170023FC,-584,23,-989
25/07/2020 18:12:48.707,296650,AM1V310 @394D30,78718,2BFE31004CFC,-469,49,-948
25/07/2020 18:12:48.735,296677,AM1V310 @394D30,78724,87FE6400A7FC,-377,100,-857
25/07/2020 18:12:48.797,296740,AM1V310 @394D30,78730,37FE460090FC,-457,70,-880
25/07/2020 18:12:48.857,296800,AM1V310 @394D30,78736,A2FD6500E7FC,-606,101,-793
25/07/2020 18:12:48.887,296830,AM1V310 @394D30,78743,D7FD290006FD,-553,41,-762
25/07/2020 18:12:48.947,296889,AM1V310 @394D30,78749,F5FCE0FFBCFD,-779,-32,-580
25/07/2020 18:12:49.007,296950,AM1V310 @394D30,78755,17FE2800A7FC,-489,40,-857
25/07/2020 18:12:49.035,296978,AM1V310 @394D30,78761,93FD2F002AFC,-621,47,-982
25/07/2020 18:12:49.097,297040,AM1V310 @394D30,78768,E2FD7900A7FC,-542,121,-857
25/07/2020 18:12:49.157,297100,AM1V310 @394D30,78774,6BFE650085FC,-405,101,-891
25/07/2020 18:12:49.188,297131,AM1V310 @394D30,78780,D4FE6700A4FC,-300,103,-860
25/07/2020 18:12:49.247,297189,AM1V310 @394D30,78786,40FEB20051FC,-448,178,-943
25/07/2020 18:12:49.307,297250,AM1V310 @394D30,78793,5EFECD006AFC,-418,205,-918
25/07/2020 18:12:49.335,297278,AM1V310 @394D30,78799,CEFDFD0080FC,-562,253,-896
25/07/2020 18:12:49.396,297338,AM1V310 @394D30,78805,07FECD0088FC,-505,205,-888
25/07/2020 18:12:49.457,297400,AM1V310 @394D30,78811,21FEC100B6FC,-479,193,-842
25/07/2020 18:12:49.492,297434,AM1V310 @394D30,78818,66FEC30083FC,-410,195,-893
25/07/2020 18:12:49.547,297489,AM1V310 @394D30,78824,2BFE8B0037FC,-469,139,-969
25/07/2020 18:12:49.633,297577,AM1V310 @394D30,78830,6BFE6500A7FB,-405,101,-1113
25/07/2020 18:12:49.666,297609,AM1V310 @394D30,78836,2CFE7A0056FB,-468,122,-1194
25/07/2020 18:12:49.727,297670,AM1V310 @394D30,78843,A6FE5C0094FA,-346,92,-1388
25/07/2020 18:12:49.761,297703,AM1V310 @394D30,78849,D4FD61FF2CFA,-556,-159,-1492
25/07/2020 18:12:49.785,297728,AM1V310 @394D30,78855,4AFE82FE6DFA,-438,-382,-1427
25/07/2020 18:12:49.847,297789,AM1V310 @394D30,78861,82FFC3FC69FB,-126,-829,-1175
25/07/2020 18:12:49.907,297850,AM1V310 @394D30,78868,9F00E2F942FC,159,-1566,-958
25/07/2020 18:12:49.935,297877,AM1V310 @394D30,78874,B70432F8DAFD,1207,-1998,-550
25/07/2020 18:12:49.997,297940,AM1V310 @394D30,78880,EB0532F8CE07,1515,-1998,1998
25/07/2020 18:12:50.057,298000,AM1V310 @394D30,78886,E0028BF84C00,736,-1909,76
25/07/2020 18:12:50.086,298028,AM1V310 @394D30,78893,A3FBCD0759FA,-1117,1997,-1447
25/07/2020 18:12:50.147,298090,AM1V310 @394D30,78899,32F87E05B6FB,-1998,1406,-1098
25/07/2020 18:12:50.207,298150,AM1V310 @394D30,78905,CE07D6FFDF06,1998,-42,1759
25/07/2020 18:12:50.296,298240,AM1V310 @394D30,78911,80FDDE004E00,-640,222,78
25/07/2020 18:12:50.297,298241,AM1V310 @394D30,78918,8600A9FDC6FE,134,-599,-314
25/07/2020 18:12:50.357,298299,AM1V310 @394D30,78924,B203D7FB36FC,946,-1065,-970
25/07/2020 18:12:50.385,298327,AM1V310 @394D30,78930,66006EF9E3FD,102,-1682,-541
25/07/2020 18:12:50.447,298389,AM1V310 @394D30,78936,FD0026FC7BFC,253,-986,-901
25/07/2020 18:12:50.507,298449,AM1V310 @394D30,78943,B50065FDB2FB,181,-667,-1102
25/07/2020 18:12:50.535,298478,AM1V310 @394D30,78949,8000C6FE54FC,128,-314,-940
25/07/2020 18:12:50.597,298539,AM1V310 @394D30,78955,CEFF2EFF71FD,-50,-210,-655
25/07/2020 18:12:50.686,298629,AM1V310 @394D30,78968,D900FDFCDEFD,217,-771,-546
25/07/2020 18:12:50.686,298630,AM1V310 @394D30,78961,840095FEC4FD,132,-363,-572
25/07/2020 18:12:50.747,298690,AM1V310 @394D30,78974,28015EFC45FD,296,-930,-699
25/07/2020 18:12:50.807,298749,AM1V310 @394D30,78980,C101E6FD5BFC,449,-538,-933
