Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (dps),Y (dps),Z (dps)
25/07/2020 18:09:39.435,107387,AM1V310 @394D30,55055,0700E4FF1100,0.7,-2.8,1.7
25/07/2020 18:09:39.465,107407,AM1V310 @394D30,55061,FEFF04001700,-0.2,0.4,2.3
25/07/2020 18:09:39.527,107469,AM1V310 @394D30,55068,F4FF06001500,-1.2,0.6,2.1
25/07/2020 18:09:39.587,107530,AM1V310 @394D30,55074,0B00F3FF2000,1.1,-1.3,3.2
25/07/2020 18:09:39.617,107560,AM1V310 @394D30,55080,1000F4FF2400,1.6,-1.2,3.6
25/07/2020 18:09:39.675,107617,AM1V310 @394D30,55086,0E00EBFF1E00,1.4,-2.1,3
25/07/2020 18:09:39.735,107678,AM1V310 @394D30,55093,F7FF00001A00,-0.9,0,2.6
25/07/2020 18:09:39.765,107707,AM1V310 @394D30,55099,EEFFF0FF1200,-1.8,-1.6,1.8
25/07/2020 18:09:39.827,107769,AM1V310 @394D30,55105,0100FCFF1C00,0.1,-0.4,2.8
25/07/2020 18:09:39.887,107829,AM1V310 @394D30,55111,1900B9FF2500,2.5,-7.1,3.7
25/07/2020 18:09:39.917,107859,AM1V310 @394D30,55118,1E00D4FF1000,3,-4.4,1.6
25/07/2020 18:09:39.976,107919,AM1V310 @394D30,55124,0D00F0FF1000,1.3,-1.6,1.6
25/07/2020 18:09:40.035,107977,AM1V310 @394D30,55130,0800E7FF1900,0.8,-2.5,2.5
25/07/2020 18:09:40.065,108007,AM1V310 @394D30,55136,0800E0FF1E00,0.8,-3.2,3
25/07/2020 18:09:40.126,108069,AM1V310 @394D30,55143,1500F3FF1700,2.1,-1.3,2.3
25/07/2020 18:09:40.186,108129,AM1V310 @394D30,55149,2A00D1FF0E00,4.2,-4.7,1.4
25/07/2020 18:09:40.215,108157,AM1V310 @394D30,55155,1C00E1FF1100,2.8,-3.1,1.7
25/07/2020 18:09:40.276,108219,AM1V310 @394D30,55161,1E00F3FF0F00,3,-1.3,1.5
25/07/2020 18:09:40.335,108278,AM1V310 @394D30,55168,1E00F0FF1900,3,-1.6,2.5
25/07/2020 18:09:40.366,108308,AM1V310 @394D30,55174,1500FBFF1100,2.1,-0.5,1.7
25/07/2020 18:09:40.426,108369,AM1V310 @394D30,55180,1000E3FF0F00,1.6,-2.9,1.5
25/07/2020 18:09:40.487,108430,AM1V310 @394D30,55186,1000E7FF0800,1.6,-2.5,0.8
