Logged started on,30/07/2020 16:41:42,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @394F30,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
30/07/2020 16:58:30.954,1008221,AM1V310 @394F30,128453,3E02CC00CE02,574,204,718
30/07/2020 16:58:31.011,1008270,AM1V310 @394F30,128459,6F02DB00AD02,623,219,685
30/07/2020 16:58:31.041,1008300,AM1V310 @394F30,128465,5002E9000D03,592,233,781
30/07/2020 16:58:31.102,1008362,AM1V310 @394F30,128471,7002E3002403,624,227,804
30/07/2020 16:58:31.161,1008420,AM1V310 @394F30,128478,0A02CD003903,522,205,825
30/07/2020 16:58:31.191,1008451,AM1V310 @394F30,128484,CA01A9001003,458,169,784
30/07/2020 16:58:31.254,1008513,AM1V310 @394F30,128490,9E019000D202,414,144,722
30/07/2020 16:58:31.314,1008573,AM1V310 @394F30,128496,15014A005102,277,74,593
30/07/2020 16:58:31.343,1008602,AM1V310 @394F30,128503,F10066FF1402,241,-154,532
30/07/2020 16:58:31.401,1008660,AM1V310 @394F30,128509,B30143FE8C04,435,-445,1164
30/07/2020 16:58:31.464,1008723,AM1V310 @394F30,128515,820305FED105,898,-507,1489
30/07/2020 16:58:31.493,1008752,AM1V310 @394F30,128521,A704F0FDB906,1191,-528,1721
30/07/2020 16:58:31.554,1008813,AM1V310 @394F30,128528,720345FB9607,882,-1211,1942
30/07/2020 16:58:31.612,1008871,AM1V310 @394F30,128534,F1FEDAF85C05,-271,-1830,1372
30/07/2020 16:58:31.641,1008900,AM1V310 @394F30,128540,C1FA32F84C03,-1343,-1998,844
30/07/2020 16:58:31.703,1008962,AM1V310 @394F30,128546,CBF832F8D4FE,-1845,-1998,-300
30/07/2020 16:58:31.764,1009023,AM1V310 @394F30,128553,00FA32F8FBFD,-1536,-1998,-517
30/07/2020 16:58:31.793,1009052,AM1V310 @394F30,128559,9903A3FF3207,921,-93,1842
30/07/2020 16:58:31.854,1009114,AM1V310 @394F30,128565,CE07CD07CE07,1998,1997,1998
30/07/2020 16:58:31.912,1009171,AM1V310 @394F30,128571,A703B40633F8,935,1716,-1997
30/07/2020 16:58:31.941,1009199,AM1V310 @394F30,128578,F0FFD1F96001,-16,-1583,352
30/07/2020 16:58:32.036,1009295,AM1V310 @394F30,128584,3BFDC8F8B6FA,-709,-1848,-1354
30/07/2020 16:58:32.063,1009322,AM1V310 @394F30,128590,84FE9DFC21FF,-380,-867,-223
30/07/2020 16:58:32.093,1009352,AM1V310 @394F30,128596,1D00A5FCC8FF,29,-859,-56
30/07/2020 16:58:32.154,1009413,AM1V310 @394F30,128603,F5FCC4FC0D03,-779,-828,781
30/07/2020 16:58:32.214,1009473,AM1V310 @394F30,128609,A0FF54FCD502,-96,-940,725
30/07/2020 16:58:32.242,1009501,AM1V310 @394F30,128615,8FFF9FFCE902,-113,-865,745
30/07/2020 16:58:32.304,1009563,AM1V310 @394F30,128621,89FFEDFCD002,-119,-787,720
30/07/2020 16:58:32.394,1009654,AM1V310 @394F30,128634,63FF6DFDA902,-157,-659,681
30/07/2020 16:58:32.394,1009654,AM1V310 @394F30,128628,3CFF43FDF802,-196,-701,760
30/07/2020 16:58:32.454,1009713,AM1V310 @394F30,128640,2BFF6FFD4F02,-213,-657,591
30/07/2020 16:58:32.514,1009773,AM1V310 @394F30,128646,A4FF4EFE9801,-92,-434,408
30/07/2020 16:58:32.544,1009803,AM1V310 @394F30,128653,46FFF8FE3B01,-186,-264,315
30/07/2020 16:58:32.604,1009863,AM1V310 @394F30,128659,52FF2500DD00,-174,37,221
30/07/2020 16:58:32.664,1009923,AM1V310 @394F30,128665,88FFE7FF4E01,-120,-25,334
30/07/2020 16:58:32.693,1009952,AM1V310 @394F30,128671,0B003CFFF901,11,-196,505
30/07/2020 16:58:32.751,1010010,AM1V310 @394F30,128678,DEFF4BFEB602,-34,-437,694
30/07/2020 16:58:32.814,1010073,AM1V310 @394F30,128684,350074FD8303,53,-652,899
30/07/2020 16:58:32.844,1010103,AM1V310 @394F30,128690,CD00DDFD9904,205,-547,1177
30/07/2020 16:58:32.902,1010161,AM1V310 @394F30,128696,200286FE8E05,544,-378,1422
30/07/2020 16:58:32.964,1010223,AM1V310 @394F30,128703,C90342FE8905,969,-446,1417
30/07/2020 16:58:32.993,1010252,AM1V310 @394F30,128709,4903B6FEB405,841,-330,1460
30/07/2020 16:58:33.054,1010313,AM1V310 @394F30,128715,9C02AA004305,668,170,1347
30/07/2020 16:58:33.114,1010373,AM1V310 @394F30,128721,FE013601BE04,510,310,1214
30/07/2020 16:58:33.142,1010401,AM1V310 @394F30,128728,7A012601DC03,378,294,988
30/07/2020 16:58:33.204,1010463,AM1V310 @394F30,128734,AF0189018703,431,393,903
30/07/2020 16:58:33.264,1010523,AM1V310 @394F30,128740,3.10224E+11,561,548,899
30/07/2020 16:58:33.293,1010552,AM1V310 @394F30,128746,B60191025103,438,657,849
30/07/2020 16:58:33.354,1010613,AM1V310 @394F30,128753,BB01BA022803,443,698,808
30/07/2020 16:58:33.414,1010673,AM1V310 @394F30,128759,C901BE02BD02,457,702,701
30/07/2020 16:58:33.443,1010702,AM1V310 @394F30,128765,5001B7028502,336,695,645
30/07/2020 16:58:33.504,1010763,AM1V310 @394F30,128771,1801B4024302,280,692,579
30/07/2020 16:58:33.561,1010820,AM1V310 @394F30,128778,4E0121035D02,334,801,605
30/07/2020 16:58:33.591,1010850,AM1V310 @394F30,128784,0E016A034C02,270,874,588
30/07/2020 16:58:33.651,1010910,AM1V310 @394F30,128790,8A0077030E02,138,887,526
30/07/2020 16:58:33.714,1010973,AM1V310 @394F30,128796,8F0061030302,143,865,515
30/07/2020 16:58:33.743,1011003,AM1V310 @394F30,128803,A0005F03E101,160,863,481
30/07/2020 16:58:33.801,1011060,AM1V310 @394F30,128809,EA003D03BC01,234,829,444
30/07/2020 16:58:33.861,1011120,AM1V310 @394F30,128815,F9004703AA01,249,839,426
30/07/2020 16:58:33.892,1011151,AM1V310 @394F30,128821,E5006603AC01,229,870,428
30/07/2020 16:58:33.954,1011213,AM1V310 @394F30,128828,D9007703B401,217,887,436
30/07/2020 16:58:34.010,1011270,AM1V310 @394F30,128834,E7007803B601,231,888,438
30/07/2020 16:58:34.041,1011300,AM1V310 @394F30,128840,E8007F03BB01,232,895,443
30/07/2020 16:58:34.104,1011363,AM1V310 @394F30,128846,D6007803BE01,214,888,446
30/07/2020 16:58:34.161,1011420,AM1V310 @394F30,128853,D1006F03B701,209,879,439
30/07/2020 16:58:34.193,1011451,AM1V310 @394F30,128859,F2008C03DB01,242,908,475
30/07/2020 16:58:34.254,1011513,AM1V310 @394F30,128865,1D017F03DC01,285,895,476
30/07/2020 16:58:34.310,1011569,AM1V310 @394F30,128871,FF008103F501,255,897,501
30/07/2020 16:58:34.340,1011599,AM1V310 @394F30,128878,99008C03ED01,153,908,493
30/07/2020 16:58:34.401,1011660,AM1V310 @394F30,128884,9D008D03D701,157,909,471
30/07/2020 16:58:34.461,1011720,AM1V310 @394F30,128890,87008D03B801,135,909,440
30/07/2020 16:58:34.491,1011750,AM1V310 @394F30,128896,7400B203B001,116,946,432
30/07/2020 16:58:34.581,1011840,AM1V310 @394F30,128903,8D00B7039401,141,951,404
30/07/2020 16:58:34.610,1011869,AM1V310 @394F30,128909,A100B403DE01,161,948,478
30/07/2020 16:58:34.640,1011900,AM1V310 @394F30,128915,A2005E035601,162,862,342
30/07/2020 16:58:34.701,1011960,AM1V310 @394F30,128921,C3004D035901,195,845,345
30/07/2020 16:58:34.760,1012020,AM1V310 @394F30,128928,9.40047E+11,148,839,405
30/07/2020 16:58:34.791,1012050,AM1V310 @394F30,128934,94006B03CE01,148,875,462
30/07/2020 16:58:34.850,1012109,AM1V310 @394F30,128940,7500B103EA01,117,945,490
30/07/2020 16:58:34.912,1012170,AM1V310 @394F30,128946,8C006403AE01,140,868,430
30/07/2020 16:58:34.941,1012200,AM1V310 @394F30,128953,0B0151039D01,267,849,413
30/07/2020 16:58:35.001,1012260,AM1V310 @394F30,128959,A0002D03DA01,160,813,474
30/07/2020 16:58:35.061,1012320,AM1V310 @394F30,128965,D1002503E601,209,805,486
30/07/2020 16:58:35.091,1012350,AM1V310 @394F30,128971,DF005403C501,223,852,453
30/07/2020 16:58:35.150,1012409,AM1V310 @394F30,128978,C5008703BC01,197,903,444
30/07/2020 16:58:35.211,1012470,AM1V310 @394F30,128984,C9009403C901,201,916,457
30/07/2020 16:58:35.241,1012500,AM1V310 @394F30,128990,EC008E03C601,236,910,454
30/07/2020 16:58:35.301,1012560,AM1V310 @394F30,128996,E8008703C101,232,903,449
30/07/2020 16:58:35.361,1012620,AM1V310 @394F30,129003,D4008303D001,212,899,464
30/07/2020 16:58:35.391,1012650,AM1V310 @394F30,129009,B7007103D201,183,881,466
30/07/2020 16:58:35.451,1012710,AM1V310 @394F30,129015,9A006803DF01,154,872,479
30/07/2020 16:58:35.510,1012769,AM1V310 @394F30,129021,77004F03F101,119,847,497
30/07/2020 16:58:35.540,1012799,AM1V310 @394F30,129028,91006403D201,145,868,466
30/07/2020 16:58:35.600,1012860,AM1V310 @394F30,129034,B6007203BF01,182,882,447
30/07/2020 16:58:35.664,1012923,AM1V310 @394F30,129040,C1007303B701,193,883,439
30/07/2020 16:58:35.692,1012951,AM1V310 @394F30,129046,D0007503BE01,208,885,446
30/07/2020 16:58:35.754,1013013,AM1V310 @394F30,129053,C4006403D801,196,868,472
30/07/2020 16:58:35.810,1013070,AM1V310 @394F30,129059,C7006103E201,199,865,482
30/07/2020 16:58:35.841,1013100,AM1V310 @394F30,129065,E1005603E301,225,854,483
30/07/2020 16:58:35.901,1013160,AM1V310 @394F30,129071,F0004E03DC01,240,846,476
30/07/2020 16:58:35.964,1013223,AM1V310 @394F30,129078,E5005803DF01,229,856,479
30/07/2020 16:58:35.992,1013251,AM1V310 @394F30,129084,E5006103E501,229,865,485
30/07/2020 16:58:36.050,1013309,AM1V310 @394F30,129090,CC006503E601,204,869,486
30/07/2020 16:58:36.110,1013369,AM1V310 @394F30,129096,B7005E03F201,183,862,498
30/07/2020 16:58:36.140,1013399,AM1V310 @394F30,129103,C0004703DA01,192,839,474
30/07/2020 16:58:36.201,1013460,AM1V310 @394F30,129109,BF004A03DE01,191,842,478
30/07/2020 16:58:36.265,1013524,AM1V310 @394F30,129115,D9004903E801,217,841,488
30/07/2020 16:58:36.292,1013551,AM1V310 @394F30,129121,E0005003F201,224,848,498
30/07/2020 16:58:36.350,1013608,AM1V310 @394F30,129128,F6004603EB01,246,838,491
30/07/2020 16:58:36.410,1013669,AM1V310 @394F30,129134,D8005503DB01,216,853,475
30/07/2020 16:58:36.443,1013702,AM1V310 @394F30,129140,B8006C03CC01,184,876,460
30/07/2020 16:58:36.500,1013760,AM1V310 @394F30,129146,C2007B03B301,194,891,435
30/07/2020 16:58:36.560,1013819,AM1V310 @394F30,129153,BE007803B701,190,888,439
30/07/2020 16:58:36.591,1013850,AM1V310 @394F30,129159,B5006C03CE01,181,876,462
30/07/2020 16:58:36.651,1013910,AM1V310 @394F30,129165,B8006403EA01,184,868,490
30/07/2020 16:58:36.710,1013969,AM1V310 @394F30,129171,E1005803EC01,225,856,492
30/07/2020 16:58:36.740,1013999,AM1V310 @394F30,129178,F1005803F201,241,856,498
30/07/2020 16:58:36.800,1014060,AM1V310 @394F30,129184,D7004803F501,215,840,501
30/07/2020 16:58:36.860,1014120,AM1V310 @394F30,129190,DA004703D801,218,839,472
30/07/2020 16:58:36.891,1014150,AM1V310 @394F30,129196,E6006903DD01,230,873,477
30/07/2020 16:58:36.951,1014210,AM1V310 @394F30,129203,CE006C03D801,206,876,472
30/07/2020 16:58:37.010,1014270,AM1V310 @394F30,129209,A5006103DA01,165,865,474
30/07/2020 16:58:37.060,1014319,AM1V310 @394F30,129215,92005D03CA01,146,861,458
30/07/2020 16:58:37.100,1014359,AM1V310 @394F30,129221,9E006003C901,158,864,457
30/07/2020 16:58:37.160,1014419,AM1V310 @394F30,129228,B3006603CA01,179,870,458
30/07/2020 16:58:37.191,1014450,AM1V310 @394F30,129234,BD006D03DC01,189,877,476
30/07/2020 16:58:37.251,1014510,AM1V310 @394F30,129240,D7006903E301,215,873,483
30/07/2020 16:58:37.311,1014570,AM1V310 @394F30,129246,E4007803E001,228,888,480
30/07/2020 16:58:37.340,1014599,AM1V310 @394F30,129253,DC009803DD01,220,920,477
30/07/2020 16:58:37.401,1014660,AM1V310 @394F30,129259,E20032040A02,226,1074,522
30/07/2020 16:58:37.461,1014720,AM1V310 @394F30,129265,6B006803F701,107,872,503
30/07/2020 16:58:37.491,1014750,AM1V310 @394F30,129271,7A00FC02B201,122,764,434
30/07/2020 16:58:37.551,1014810,AM1V310 @394F30,129278,C4001A039E01,196,794,414
30/07/2020 16:58:37.610,1014870,AM1V310 @394F30,129284,BE003903BA01,190,825,442
30/07/2020 16:58:37.640,1014899,AM1V310 @394F30,129290,A0006303B801,160,867,440
30/07/2020 16:58:37.701,1014960,AM1V310 @394F30,129296,A000BF03CD01,160,959,461
30/07/2020 16:58:37.761,1015020,AM1V310 @394F30,129303,AD001504FF01,173,1045,511
30/07/2020 16:58:37.791,1015049,AM1V310 @394F30,129309,7D000B03CE01,125,779,462
30/07/2020 16:58:37.850,1015109,AM1V310 @394F30,129315,74000A03A701,116,778,423
30/07/2020 16:58:37.911,1015170,AM1V310 @394F30,129321,75002903B501,117,809,437
30/07/2020 16:58:37.940,1015199,AM1V310 @394F30,129328,99005403BC01,153,852,444
30/07/2020 16:58:38.001,1015260,AM1V310 @394F30,129334,C1005F03BD01,193,863,445
30/07/2020 16:58:38.061,1015320,AM1V310 @394F30,129340,A8001A037701,168,794,375
30/07/2020 16:58:38.092,1015351,AM1V310 @394F30,129346,CD0079038E01,205,889,398
30/07/2020 16:58:38.154,1015413,AM1V310 @394F30,129353,CD007E03A301,205,894,419
30/07/2020 16:58:38.213,1015472,AM1V310 @394F30,129359,31017E03B501,305,894,437
30/07/2020 16:58:38.242,1015501,AM1V310 @394F30,129365,B600B503F301,182,949,499
