Logged started on,30/07/2020 16:41:42,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @394F30,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
30/07/2020 17:01:20.635,1177899,AM1V310 @394F30,149634,75010E044502,373,1038,581
30/07/2020 17:01:20.694,1177953,AM1V310 @394F30,149640,2B02EB036A02,555,1003,618
30/07/2020 17:01:20.724,1177983,AM1V310 @394F30,149646,83025A037602,643,858,630
30/07/2020 17:01:20.781,1178041,AM1V310 @394F30,149653,9802D5025202,664,725,594
30/07/2020 17:01:20.844,1178103,AM1V310 @394F30,149659,C10289024902,705,649,585
30/07/2020 17:01:20.873,1178132,AM1V310 @394F30,149665,2A022B027302,554,555,627
30/07/2020 17:01:20.935,1178194,AM1V310 @394F30,149671,C300E301EF02,195,483,751
30/07/2020 17:01:21.025,1178284,AM1V310 @394F30,149684,04FF9B016903,-252,411,873
30/07/2020 17:01:21.024,1178284,AM1V310 @394F30,149678,D7FD7701BF01,-553,375,447
30/07/2020 17:01:21.082,1178340,AM1V310 @394F30,149690,CD01C9007903,461,201,889
30/07/2020 17:01:21.174,1178433,AM1V310 @394F30,149696,C40143000304,452,67,1027
30/07/2020 17:01:21.174,1178433,AM1V310 @394F30,149703,9202E0FFB602,658,-32,694
30/07/2020 17:01:21.235,1178494,AM1V310 @394F30,149709,200204FF2A02,544,-252,554
30/07/2020 17:01:21.291,1178550,AM1V310 @394F30,149715,D20090FEF301,210,-368,499
30/07/2020 17:01:21.323,1178582,AM1V310 @394F30,149721,370050FF8A03,55,-176,906
30/07/2020 17:01:21.382,1178641,AM1V310 @394F30,149728,AA01DBFF0F05,426,-37,1295
30/07/2020 17:01:21.444,1178703,AM1V310 @394F30,149734,370152FF0104,311,-174,1025
30/07/2020 17:01:21.473,1178732,AM1V310 @394F30,149740,13004DFF4803,19,-179,840
30/07/2020 17:01:21.564,1178823,AM1V310 @394F30,149746,FB001DFFDC03,251,-227,988
30/07/2020 17:01:21.602,1178861,AM1V310 @394F30,149753,FD013EFF6704,509,-194,1127
30/07/2020 17:01:21.622,1178881,AM1V310 @394F30,149759,280187FFB803,296,-121,952
30/07/2020 17:01:21.684,1178943,AM1V310 @394F30,149765,660126FF4A03,358,-218,842
30/07/2020 17:01:21.744,1179003,AM1V310 @394F30,149771,2C0147FFD302,300,-185,723
30/07/2020 17:01:21.802,1179060,AM1V310 @394F30,149778,8F00D6FF7402,143,-42,628
30/07/2020 17:01:21.832,1179092,AM1V310 @394F30,149784,1A012CFF2802,282,-212,552
30/07/2020 17:01:21.894,1179153,AM1V310 @394F30,149790,2302D0FE7503,547,-304,885
30/07/2020 17:01:21.924,1179183,AM1V310 @394F30,149796,5A023BFE8004,602,-453,1152
30/07/2020 17:01:22.014,1179274,AM1V310 @394F30,149803,D30151FD7805,467,-687,1400
30/07/2020 17:01:22.101,1179360,AM1V310 @394F30,149809,400198FB8806,320,-1128,1672
30/07/2020 17:01:22.125,1179384,AM1V310 @394F30,149815,C9FFC0F81807,-55,-1856,1816
30/07/2020 17:01:22.139,1179398,AM1V310 @394F30,149821,E6FD32F87D06,-538,-1998,1661
30/07/2020 17:01:22.194,1179453,AM1V310 @394F30,149828,F3FB32F87C03,-1037,-1998,892
30/07/2020 17:01:22.223,1179482,AM1V310 @394F30,149834,1DFA32F8E3FD,-1507,-1998,-541
30/07/2020 17:01:22.284,1179543,AM1V310 @394F30,149840,FFFA90F865FD,-1281,-1904,-667
30/07/2020 17:01:22.374,1179633,AM1V310 @394F30,149853,3506CD07CE07,1589,1997,1998
30/07/2020 17:01:22.374,1179634,AM1V310 @394F30,149846,2201E3017607,290,483,1910
30/07/2020 17:01:22.434,1179694,AM1V310 @394F30,149859,CE07370336F8,1998,823,-1994
30/07/2020 17:01:22.494,1179754,AM1V310 @394F30,149865,140035FCBA00,20,-971,186
30/07/2020 17:01:22.524,1179783,AM1V310 @394F30,149871,39FA32F801FA,-1479,-1998,-1535
30/07/2020 17:01:22.585,1179844,AM1V310 @394F30,149878,69FE64FC2DFF,-407,-924,-211
30/07/2020 17:01:22.645,1179904,AM1V310 @394F30,149884,BA0150FDDAFF,442,-688,-38
30/07/2020 17:01:22.674,1179933,AM1V310 @394F30,149890,650007FF8100,101,-249,129
30/07/2020 17:01:22.735,1179994,AM1V310 @394F30,149896,E2FEA9029301,-286,681,403
30/07/2020 17:01:22.794,1180053,AM1V310 @394F30,149903,4202540258FF,578,596,-168
30/07/2020 17:01:22.855,1180114,AM1V310 @394F30,149909,6D00CEFFF200,109,-50,242
30/07/2020 17:01:22.883,1180142,AM1V310 @394F30,149915,2600C9FE9102,38,-311,657
30/07/2020 17:01:22.945,1180204,AM1V310 @394F30,149921,5DFF39FB3904,-163,-1223,1081
30/07/2020 17:01:22.974,1180233,AM1V310 @394F30,149928,7B04B2FF7306,1147,-78,1651
30/07/2020 17:01:23.064,1180323,AM1V310 @394F30,149934,D703F302CE07,983,755,1998
30/07/2020 17:01:23.093,1180353,AM1V310 @394F30,149940,2F06C702E505,1583,711,1509
30/07/2020 17:01:23.123,1180381,AM1V310 @394F30,149946,47057603BE05,1351,886,1470
30/07/2020 17:01:23.185,1180444,AM1V310 @394F30,149953,780333039C03,888,819,924
30/07/2020 17:01:23.245,1180504,AM1V310 @394F30,149959,F2020F030F03,754,783,783
30/07/2020 17:01:23.275,1180534,AM1V310 @394F30,149965,AE00F6039403,174,1014,916
30/07/2020 17:01:23.365,1180624,AM1V310 @394F30,149971,1003FE034F02,784,1022,591
30/07/2020 17:01:23.394,1180653,AM1V310 @394F30,149978,D801E603AE01,472,998,430
30/07/2020 17:01:23.424,1180683,AM1V310 @394F30,149984,0E0165049801,270,1125,408
30/07/2020 17:01:23.485,1180744,AM1V310 @394F30,149990,9.90026E+11,153,1062,387
30/07/2020 17:01:23.545,1180804,AM1V310 @394F30,149996,BD000E040601,189,1038,262
30/07/2020 17:01:23.574,1180833,AM1V310 @394F30,150003,FA00C403F400,250,964,244
30/07/2020 17:01:23.635,1180894,AM1V310 @394F30,150009,5401B5031401,340,949,276
30/07/2020 17:01:23.694,1180953,AM1V310 @394F30,150015,2D0196031901,301,918,281
30/07/2020 17:01:23.724,1180982,AM1V310 @394F30,150021,F8005E031A01,248,862,282
