Logged started on,30/07/2020 16:41:42,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @394F30,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
30/07/2020 16:52:56.153,673418,AM1V310 @394F30,86596,000101FF8D03,256,-255,909
30/07/2020 16:52:56.183,673442,AM1V310 @394F30,86603,0501BDFE8803,261,-323,904
30/07/2020 16:52:56.244,673503,AM1V310 @394F30,86609,4F01E4FEFD02,335,-284,765
30/07/2020 16:52:56.304,673563,AM1V310 @394F30,86615,C90013FF5D02,201,-237,605
30/07/2020 16:52:56.334,673593,AM1V310 @394F30,86621,54000AFF7802,84,-246,632
30/07/2020 16:52:56.394,673653,AM1V310 @394F30,86628,9001C0FE2704,400,-320,1063
30/07/2020 16:52:56.454,673713,AM1V310 @394F30,86634,4B02A6FD6D06,587,-602,1645
30/07/2020 16:52:56.483,673743,AM1V310 @394F30,86640,B10297FB6606,689,-1129,1638
30/07/2020 16:52:56.547,673806,AM1V310 @394F30,86646,3C0124FAAF07,316,-1500,1967
30/07/2020 16:52:56.604,673863,AM1V310 @394F30,86653,5EFEC7F8B606,-418,-1849,1718
30/07/2020 16:52:56.634,673892,AM1V310 @394F30,86659,94FB34F8CD03,-1132,-1996,973
30/07/2020 16:52:56.694,673953,AM1V310 @394F30,86665,84F832F816FE,-1916,-1998,-490
30/07/2020 16:52:56.753,674012,AM1V310 @394F30,86671,54F932F831FD,-1708,-1998,-719
30/07/2020 16:52:56.783,674042,AM1V310 @394F30,86678,8602F801CC07,646,504,1996
30/07/2020 16:52:56.844,674103,AM1V310 @394F30,86684,CE07CD07CE07,1998,1997,1998
30/07/2020 16:52:56.933,674192,AM1V310 @394F30,86690,0C079B058BF8,1804,1435,-1909
30/07/2020 16:52:56.969,674228,AM1V310 @394F30,86696,6BFE44F8FAFD,-405,-1980,-518
30/07/2020 16:52:56.994,674253,AM1V310 @394F30,86703,35FBEFFB8CFE,-1227,-1041,-372
30/07/2020 16:52:57.113,674372,AM1V310 @394F30,86709,F7FF53FC9A00,-9,-941,154
30/07/2020 16:52:57.141,674400,AM1V310 @394F30,86715,DC007EFC4002,220,-898,576
30/07/2020 16:52:57.158,674417,AM1V310 @394F30,86721,86FD22FD3103,-634,-734,817
30/07/2020 16:52:57.203,674462,AM1V310 @394F30,86728,C000DDFC7202,192,-803,626
30/07/2020 16:52:57.234,674493,AM1V310 @394F30,86734,1B00DEFC9002,27,-802,656
30/07/2020 16:52:57.294,674553,AM1V310 @394F30,86740,5FFFEBFCB202,-161,-789,690
30/07/2020 16:52:57.354,674613,AM1V310 @394F30,86746,E4FFC5FC7802,-28,-827,632
30/07/2020 16:52:57.383,674643,AM1V310 @394F30,86753,9DFFD6FC8102,-99,-810,641
30/07/2020 16:52:57.444,674703,AM1V310 @394F30,86759,9FFFE7FC5902,-97,-793,601
30/07/2020 16:52:57.533,674793,AM1V310 @394F30,86765,A5FFFEFC6502,-91,-770,613
30/07/2020 16:52:57.560,674819,AM1V310 @394F30,86771,94FF00FD4902,-108,-768,585
30/07/2020 16:52:57.623,674883,AM1V310 @394F30,86778,60FF04FDFC01,-160,-764,508
