Logged started on,30/07/2020 16:41:42,,,,,,
Feature,Accelerometer,,,,,,
Nodes,AM1V310 @394F30,,,,,,
,,,,,,,
Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
30/07/2020 17:02:40.765,1258028,AM1V310 @394F30,159409,8900B8FFD303,137,-72,979
30/07/2020 17:02:40.765,1258030,AM1V310 @394F30,159415,7700C9FFED03,119,-55,1005
30/07/2020 17:02:40.765,1258031,AM1V310 @394F30,159421,830001000C04,131,1,1036
30/07/2020 17:02:40.765,1258031,AM1V310 @394F30,159621,DAFFF3FE6503,-38,-269,869
30/07/2020 17:02:42.115,1259375,AM1V310 @394F30,159821,06FFD5FC0902,-250,-811,521
30/07/2020 17:02:42.174,1259433,AM1V310 @394F30,159828,2FFFB0FCFD01,-209,-848,509
30/07/2020 17:02:42.231,1259490,AM1V310 @394F30,159834,2FFFF4FC0002,-209,-780,512
30/07/2020 17:02:42.263,1259522,AM1V310 @394F30,159840,36FF32FDFA01,-202,-718,506
30/07/2020 17:02:42.325,1259584,AM1V310 @394F30,159846,25FF4EFDF001,-219,-690,496
30/07/2020 17:02:42.381,1259641,AM1V310 @394F30,159853,6AFF64FEA701,-150,-412,423
30/07/2020 17:02:42.445,1259704,AM1V310 @394F30,159859,EDFFFFFF8900,-19,-1,137
30/07/2020 17:02:42.504,1259764,AM1V310 @394F30,159865,B7FFFEFF8D00,-73,-2,141
30/07/2020 17:02:42.534,1259793,AM1V310 @394F30,159871,8BFFC6FF3601,-117,-58,310
30/07/2020 17:02:42.564,1259823,AM1V310 @394F30,159878,37FF48FFF901,-201,-184,505
30/07/2020 17:02:42.621,1259880,AM1V310 @394F30,159884,58FFFAFD2802,-168,-518,552
30/07/2020 17:02:42.681,1259940,AM1V310 @394F30,159890,D8FF10FDDD02,-40,-752,733
30/07/2020 17:02:42.741,1260000,AM1V310 @394F30,159896,1C0119FE8A04,284,-487,1162
30/07/2020 17:02:42.771,1260030,AM1V310 @394F30,159903,D003B8FEC605,976,-328,1478
30/07/2020 17:02:42.831,1260090,AM1V310 @394F30,159909,3503E3FD3A05,821,-541,1338
30/07/2020 17:02:42.861,1260121,AM1V310 @394F30,159915,A604B200EB05,1190,178,1515
30/07/2020 17:02:43.011,1260271,AM1V310 @394F30,159921,7B046701A604,1147,359,1190
30/07/2020 17:02:43.011,1260273,AM1V310 @394F30,159928,C20291015E04,706,401,1118
30/07/2020 17:02:43.054,1260313,AM1V310 @394F30,159934,53029C01C603,595,412,966
30/07/2020 17:02:43.130,1260390,AM1V310 @394F30,159940,CB028E016503,715,398,869
30/07/2020 17:02:43.281,1260542,AM1V310 @394F30,159953,EB02A4021903,747,676,793
30/07/2020 17:02:43.284,1260543,AM1V310 @394F30,159959,25026702AA02,549,615,682
30/07/2020 17:02:43.281,1260544,AM1V310 @394F30,159946,36032F025303,822,559,851
30/07/2020 17:02:43.330,1260589,AM1V310 @394F30,159965,E1014D027D02,481,589,637
30/07/2020 17:02:43.344,1260602,AM1V310 @394F30,159971,D50158024C02,469,600,588
30/07/2020 17:02:43.371,1260630,AM1V310 @394F30,159978,C50186024B02,453,646,587
30/07/2020 17:02:43.461,1260719,AM1V310 @394F30,159984,9501CD025A02,405,717,602
30/07/2020 17:02:43.486,1260745,AM1V310 @394F30,159990,7701DC026702,375,732,615
30/07/2020 17:02:43.521,1260780,AM1V310 @394F30,159996,7701C9026402,375,713,612
30/07/2020 17:02:43.610,1260869,AM1V310 @394F30,160003,65018B023A02,357,651,570
30/07/2020 17:02:43.625,1260884,AM1V310 @394F30,160009,4B0160024002,331,608,576
